ID,FDP_ID,Election,Year,County,Agency,Measure,ElectionType,AgencyType,BallotQ_Coll,Impartial_Coll,Fiscal_Coll,Resolution_Coll,Ordinance_Coll,For_Coll,Against_Coll,RebutFor_Coll,RebutAgainst_Coll,ProjectBack_Coll,NotTaxFile,CantFindFile,ChangedOGFile,ChangedFileInfo,ChangeNotes,Notes,FileNames_Actual,Policy_Text,Clean_Policy_Text,Imp_Text,Clean_Imp_Text,Text_NOTES,Policy_Coll,FileName_Temp
Heat3668,23,Mar-1999?,,Alameda,Albany Unified School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3669,156,11/?/1991,,Alameda,Livermore Valley Joint Unified School District,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3670,,2005?,,Los Angeles,City of Ranchos Palos Verdes,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3672,2546,Mar?1989,,Marin,Reed Union Elementary School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3671,2548,April?1994,,Marin,Reed Union Elementary School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3674,,11/?/1988,,Marin,Shoreline Unified School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3673,,11/?/1994,,Marin,Shoreline Unified School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3675,,11/?/2007,,Monterey,Spreckels Memorial District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3676,,3/?/2012,,Placer,Newcastle Fire Protection District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3677,2844,4/?/1990,,San Diego,Encinitas Unified School District,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3678,1353,11/3/87?,,San Diego,San Diego County,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3679,2880,1984?,,San Luis Obispo,Atascadero Unified School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3680,1497,Mar-93?,,San Mateo,Burlingame Elementary School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3681,,11/?/1992,,San Mateo,Menlo Park City Elementary School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3682,2906,Apr-94?,,San Mateo,Millbrae Elementary School District,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3683,1580,Apr-94?,,San Mateo,Portola Valley Elementary School District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3684,2909,Jun-93?,,San Mateo,Redwood City Elementary School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3685,1588,Jun-91?,,San Mateo,San Mateo City School District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3686,2912,Mar-93?,,San Mateo,Woodside Elementary School District,C,,,,,,,,,,,,,,,,,,,,,,,,,,
